 1.000000e-01  1.600000e+00  3.000000e+00  4.268457e-04
 2.000000e-01  1.600000e+00  3.000000e+00  7.773251e-04
 3.000000e-01  1.600000e+00  3.000000e+00  1.055293e-03
 4.000000e-01  1.600000e+00  3.000000e+00  1.262491e-03
 5.000000e-01  1.600000e+00  3.000000e+00  1.407096e-03
 6.000000e-01  1.600000e+00  3.000000e+00  1.504129e-03
 7.000000e-01  1.600000e+00  3.000000e+00  1.570656e-03
 8.000000e-01  1.600000e+00  3.000000e+00  1.619985e-03
 9.000000e-01  1.600000e+00  3.000000e+00  1.660020e-03
 1.000000e+00  1.600000e+00  3.000000e+00  1.694858e-03
 1.100000e+00  1.600000e+00  3.000000e+00  1.726598e-03
 1.200000e+00  1.600000e+00  3.000000e+00  1.756373e-03
 1.300000e+00  1.600000e+00  3.000000e+00  1.784835e-03
 1.400000e+00  1.600000e+00  3.000000e+00  1.812376e-03
 1.500000e+00  1.600000e+00  3.000000e+00  1.839246e-03
 1.600000e+00  1.600000e+00  3.000000e+00  1.865610e-03
 1.700000e+00  1.600000e+00  3.000000e+00  1.891581e-03
 1.800000e+00  1.600000e+00  3.000000e+00  1.917243e-03
 1.900000e+00  1.600000e+00  3.000000e+00  1.942654e-03
 2.000000e+00  1.600000e+00  3.000000e+00  1.967864e-03
 2.100000e+00  1.600000e+00  3.000000e+00  1.992910e-03
 2.200000e+00  1.600000e+00  3.000000e+00  2.017823e-03
 2.300000e+00  1.600000e+00  3.000000e+00  2.042627e-03
 2.400000e+00  1.600000e+00  3.000000e+00  2.067345e-03
 2.500000e+00  1.600000e+00  3.000000e+00  2.091994e-03
 2.600000e+00  1.600000e+00  3.000000e+00  2.116590e-03
 2.700000e+00  1.600000e+00  3.000000e+00  2.141146e-03
 2.800000e+00  1.600000e+00  3.000000e+00  2.165674e-03
 2.900000e+00  1.600000e+00  3.000000e+00  2.190186e-03
 3.000000e+00  1.600000e+00  3.000000e+00  2.214688e-03
 3.100000e+00  1.600000e+00  3.000000e+00  2.239191e-03
 3.200000e+00  1.600000e+00  3.000000e+00  2.263701e-03
 3.300000e+00  1.600000e+00  3.000000e+00  2.288226e-03
 3.400000e+00  1.600000e+00  3.000000e+00  2.312772e-03
 3.500000e+00  1.600000e+00  3.000000e+00  2.337346e-03
 3.600000e+00  1.600000e+00  3.000000e+00  2.361954e-03
 0.000000e+00  2.000000e+00  3.000000e+00  1.353531e-11
 1.000000e-01  2.000000e+00  3.000000e+00  6.320488e-04
 2.000000e-01  2.000000e+00  3.000000e+00  1.199640e-03
 3.000000e-01  2.000000e+00  3.000000e+00  1.705842e-03
 4.000000e-01  2.000000e+00  3.000000e+00  2.148605e-03
 5.000000e-01  2.000000e+00  3.000000e+00  2.526715e-03
 6.000000e-01  2.000000e+00  3.000000e+00  2.840947e-03
 7.000000e-01  2.000000e+00  3.000000e+00  3.095033e-03
 8.000000e-01  2.000000e+00  3.000000e+00  3.296005e-03
 9.000000e-01  2.000000e+00  3.000000e+00  3.453363e-03
 1.000000e+00  2.000000e+00  3.000000e+00  3.577259e-03
 1.100000e+00  2.000000e+00  3.000000e+00  3.676725e-03
 1.200000e+00  2.000000e+00  3.000000e+00  3.758818e-03
 1.300000e+00  2.000000e+00  3.000000e+00  3.828650e-03
 1.400000e+00  2.000000e+00  3.000000e+00  3.889804e-03
 1.500000e+00  2.000000e+00  3.000000e+00  3.944773e-03
 1.600000e+00  2.000000e+00  3.000000e+00  3.995284e-03
 1.700000e+00  2.000000e+00  3.000000e+00  4.042539e-03
 1.800000e+00  2.000000e+00  3.000000e+00  4.087377e-03
 1.900000e+00  2.000000e+00  3.000000e+00  4.130388e-03
 2.000000e+00  2.000000e+00  3.000000e+00  4.171990e-03
 2.100000e+00  2.000000e+00  3.000000e+00  4.212482e-03
 2.200000e+00  2.000000e+00  3.000000e+00  4.252084e-03
 2.300000e+00  2.000000e+00  3.000000e+00  4.290957e-03
 2.400000e+00  2.000000e+00  3.000000e+00  4.329224e-03
 2.500000e+00  2.000000e+00  3.000000e+00  4.366980e-03
 2.600000e+00  2.000000e+00  3.000000e+00  4.404298e-03
 2.700000e+00  2.000000e+00  3.000000e+00  4.441239e-03
 2.800000e+00  2.000000e+00  3.000000e+00  4.477852e-03
 2.900000e+00  2.000000e+00  3.000000e+00  4.514175e-03
 3.000000e+00  2.000000e+00  3.000000e+00  4.550247e-03
 3.100000e+00  2.000000e+00  3.000000e+00  4.586094e-03
